FileName: 580005.txt, datasize: 580005.0, network3g:3 , method: def0, energy: CPU_EC: 21545 Wifi_EC: 304941Total: 326486
FileName: 590005.txt, datasize: 590005.0, network3g:3 , method: def0, energy: CPU_EC: 21709 Wifi_EC: 305979Total: 327688
FileName: 600005.txt, datasize: 600005.0, network3g:3 , method: def0, energy: CPU_EC: 21876 Wifi_EC: 307717Total: 329593
FileName: 1000005.txt, datasize: 1000005.0, network3g:3 , method: def0, energy: CPU_EC: 22082 Wifi_EC: 310496Total: 332578
FileName: 1250005.txt, datasize: 1250005.0, network3g:3 , method: def0, energy: CPU_EC: 22342 Wifi_EC: 313621Total: 335963
FileName: 1500005.txt, datasize: 1500005.0, network3g:3 , method: def0, energy: CPU_EC: 22587 Wifi_EC: 317790Total: 340377
FileName: 1750005.txt, datasize: 1750005.0, network3g:3 , method: def0, energy: CPU_EC: 22860 Wifi_EC: 321606Total: 344466
FileName: 2000005.txt, datasize: 2000005.0, network3g:3 , method: def0, energy: CPU_EC: 23142 Wifi_EC: 327864Total: 351006
FileName: 2250005.txt, datasize: 2250005.0, network3g:3 , method: def0, energy: CPU_EC: 23475 Wifi_EC: 335866Total: 359341
FileName: 2500005.txt, datasize: 2500005.0, network3g:3 , method: def0, energy: CPU_EC: 23866 Wifi_EC: 342466Total: 366332
FileName: 2750005.txt, datasize: 2750005.0, network3g:3 , method: def0, energy: CPU_EC: 24201 Wifi_EC: 352553Total: 376754
FileName: 185skiis-template.bmp, datasize: 810054.0, network3g:3 , method: def1, energy: CPU_EC: 24400 Wifi_EC: 353943Total: 378343
FileName: 0001_259.jpg, datasize: 628254.0, network3g:3 , method: def1, energy: CPU_EC: 24599 Wifi_EC: 355334Total: 379933
FileName: 10-cougar1.bmp, datasize: 540178.0, network3g:3 , method: def1, energy: CPU_EC: 24772 Wifi_EC: 356726Total: 381498
FileName: 0023ae989701101318352d.bmp, datasize: 322554.0, network3g:3 , method: def1, energy: CPU_EC: 25004 Wifi_EC: 357420Total: 382424
FileName: 200_s.gif, datasize: 33042.0, network3g:3 , method: def1, energy: CPU_EC: 25045 Wifi_EC: 358118Total: 383163
FileName: 221.bmp, datasize: 921654.0, network3g:3 , method: def1, energy: CPU_EC: 25286 Wifi_EC: 360207Total: 385493
FileName: 800px-Ocean_dumping_of_radioactive_waste_in_Atlantic_Ocean.png, datasize: 738164.0, network3g:3 , method: def1, energy: CPU_EC: 25548 Wifi_EC: 361593Total: 387141
FileName: 2973ac1a9f996fe733906c3f7bc84779.png, datasize: 2147098.0, network3g:3 , method: def1, energy: CPU_EC: 26015 Wifi_EC: 365053Total: 391068
FileName: 132101970436880.bmp, datasize: 763030.0, network3g:3 , method: def1, energy: CPU_EC: 26216 Wifi_EC: 366793Total: 393009
FileName: 1462610882824795971.gif, datasize: 3059921.0, network3g:3 , method: def1, energy: CPU_EC: 26680 Wifi_EC: 374778Total: 401458
FileName: amazing-beautiful-beauty-blue-medium.jpg, datasize: 101915.0, network3g:3 , method: def1, energy: CPU_EC: 26728 Wifi_EC: 375126Total: 401854
FileName: antarctica-km-south-pole-eternal-ice-76968-medium.jpeg, datasize: 63023.0, network3g:3 , method: def1, energy: CPU_EC: 26795 Wifi_EC: 376524Total: 403319
FileName: aoraki-mount-cook-mountain-new-zealand-68695-medium.jpeg, datasize: 80055.0, network3g:3 , method: def1, energy: CPU_EC: 26863 Wifi_EC: 377221Total: 404084
FileName: B-1B-over-the-pacific-ocean-2016052814.png, datasize: 700635.0, network3g:3 , method: def1, energy: CPU_EC: 27139 Wifi_EC: 379305Total: 406444
FileName: b77d48f566d2bdc501eed5da057a7f14.jpg, datasize: 502554.0, network3g:3 , method: def1, energy: CPU_EC: 27295 Wifi_EC: 380348Total: 407643
FileName: Bay-area2.bmp, datasize: 833458.0, network3g:3 , method: def1, energy: CPU_EC: 27505 Wifi_EC: 381738Total: 409243
FileName: bigsavina.bmp, datasize: 656694.0, network3g:3 , method: def1, energy: CPU_EC: 27730 Wifi_EC: 382433Total: 410163
FileName: Black-Mountain-Golf-Club.bmp, datasize: 1536054.0, network3g:3 , method: def1, energy: CPU_EC: 28134 Wifi_EC: 388702Total: 416836
FileName: bobcat_3.bmp, datasize: 842154.0, network3g:3 , method: def1, energy: CPU_EC: 28300 Wifi_EC: 389744Total: 418044
FileName: climbing 2.bmp, datasize: 5760054.0, network3g:3 , method: def1, energy: CPU_EC: 28759 Wifi_EC: 398085Total: 426844
FileName: color.gif, datasize: 642798.0, network3g:3 , method: def1, energy: CPU_EC: 28991 Wifi_EC: 399123Total: 428114
FileName: Cougar.bmp, datasize: 124136.0, network3g:3 , method: def1, energy: CPU_EC: 29086 Wifi_EC: 399820Total: 428906
FileName: crystal-mountain.png, datasize: 334328.0, network3g:3 , method: def1, energy: CPU_EC: 29315 Wifi_EC: 401911Total: 431226
FileName: download (1).jpeg, datasize: 5024.0, network3g:3 , method: def1, energy: CPU_EC: 29328 Wifi_EC: 402260Total: 431588
FileName: download.jpeg, datasize: 8486.0, network3g:3 , method: def1, energy: CPU_EC: 29368 Wifi_EC: 402958Total: 432326
FileName: eagle-heights-mountain.jpg, datasize: 967158.0, network3g:3 , method: def1, energy: CPU_EC: 29599 Wifi_EC: 404347Total: 433946
FileName: Exposed to sky surveying the strand Screenshot.bmp, datasize: 8294454.0, network3g:3 , method: def1, energy: CPU_EC: 30064 Wifi_EC: 414767Total: 444831
FileName: Fish-rain-from-the-sky.gif, datasize: 1961420.0, network3g:3 , method: def1, energy: CPU_EC: 30529 Wifi_EC: 419980Total: 450509
FileName: giphy (1).gif, datasize: 8077805.0, network3g:3 , method: def1, energy: CPU_EC: 32393 Wifi_EC: 438721Total: 471114
FileName: giphy.gif, datasize: 1120184.0, network3g:3 , method: def1, energy: CPU_EC: 32746 Wifi_EC: 442547Total: 475293
FileName: Hovenweep-featured-700px-460px.png, datasize: 530975.0, network3g:3 , method: def1, energy: CPU_EC: 32978 Wifi_EC: 443937Total: 476915
FileName: images (1).jpeg, datasize: 3973.0, network3g:3 , method: def1, energy: CPU_EC: 32991 Wifi_EC: 444635Total: 477626
FileName: images (1).png, datasize: 3456.0, network3g:3 , method: def1, energy: CPU_EC: 33011 Wifi_EC: 444984Total: 477995
FileName: images (2).jpeg, datasize: 9492.0, network3g:3 , method: def1, energy: CPU_EC: 33051 Wifi_EC: 445682Total: 478733
FileName: images (3).jpeg, datasize: 9123.0, network3g:3 , method: def1, energy: CPU_EC: 33064 Wifi_EC: 446031Total: 479095
FileName: images (4).jpeg, datasize: 5917.0, network3g:3 , method: def1, energy: CPU_EC: 33104 Wifi_EC: 446729Total: 479833
FileName: images (5).jpeg, datasize: 8324.0, network3g:3 , method: def1, energy: CPU_EC: 33123 Wifi_EC: 447078Total: 480201
FileName: jeju_3.bmp, datasize: 316554.0, network3g:3 , method: def1, energy: CPU_EC: 33328 Wifi_EC: 447773Total: 481101
FileName: logo.png, datasize: 2862269.0, network3g:3 , method: def1, energy: CPU_EC: 34182 Wifi_EC: 457163Total: 491345
FileName: mepis-wallpaper-blue-sky.gif, datasize: 153085.0, network3g:3 , method: def1, energy: CPU_EC: 34277 Wifi_EC: 457859Total: 492136
FileName: Mountain-PNG-File.png, datasize: 2515774.0, network3g:3 , method: def1, energy: CPU_EC: 34976 Wifi_EC: 464808Total: 499784
FileName: mountain-rang.png, datasize: 623010.0, network3g:3 , method: def1, energy: CPU_EC: 35226 Wifi_EC: 466196Total: 501422
FileName: mountain5.png, datasize: 2912831.0, network3g:3 , method: def1, energy: CPU_EC: 35684 Wifi_EC: 475236Total: 510920
FileName: ocean-009.jpg, datasize: 715404.0, network3g:3 , method: def1, energy: CPU_EC: 35944 Wifi_EC: 476971Total: 512915
FileName: peaceful-ocean.png, datasize: 255678.0, network3g:3 , method: def1, energy: CPU_EC: 36142 Wifi_EC: 478015Total: 514157
FileName: pexels-photo-26851-medium.jpg, datasize: 51424.0, network3g:3 , method: def1, energy: CPU_EC: 36189 Wifi_EC: 479062Total: 515251
